Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
CAH,Cardinal Health,['Healthcare'],2,0,0.0,"0,0006"
CARR,Carrier Global,['Industrials'],1,1,1.0,"0,001"
CAT,"Caterpillar Inc,","['Industrials', 'Energy']",1,1,1.0,"0,0034"
CB,Chubb Limited,['Finance'],3,-3,-1.0,"0,0019"
CBOE,Cboe Global Markets,['Finance'],3,-3,-1.0,"0,0004"
CBRE,CBRE Group,['Industrials'],1,1,1.0,"0,0008"
CCI,Crown Castle,"['Technology', 'Public Services']",10,-4,-0.4,"0,0008"
CCL,Carnival,['Industrials'],1,1,1.0,"0,0007"
CDNS,Cadence Design Systems,['Technology'],8,-4,-0.5,"0,0016"
CDW,CDW,['Technology'],8,-4,-0.5,"0,0004"
CEG,Constellation Energy,['Energy'],1,1,1.0,"0,0018"
CF,CF Industries,['Industrials'],1,1,1.0,"0,0002"
CFG,Citizens Financial Group,['Finance'],3,-3,-1.0,"0,0004"
CHD,Church & Dwight,['Industrials'],1,1,1.0,"0,0004"
CHRW,"C,H, Robinson",['Industrials'],1,1,1.0,"0,0002"
CHTR,Charter Communications,['Public Services'],4,-2,-0.5,"0,0006"
CI,Cigna,['Finance'],3,-3,-1.0,"0,0013"
CINF,Cincinnati Financial,['Finance'],3,-3,-1.0,"0,0004"
CL,Colgate-Palmolive,['Energy'],1,1,1.0,"0,0012"
CLX,Clorox,['Industrials'],1,1,1.0,"0,0003"
CMCSA,Comcast,['Public Services'],4,-2,-0.5,"0,0021"
CME,CME Group,['Finance'],3,-3,-1.0,"0,0017"
CMG,Chipotle Mexican Grill,['Industrials'],1,1,1.0,"0,001"
CMI,Cummins,['Industrials'],1,1,1.0,"0,001"
CMS,CMS Energy,"['Public Services', 'Energy']",5,-1,-0.2,"0,0004"
CNC,Centene Corporation,['Healthcare'],2,0,0.0,"0,0002"
CNP,CenterPoint Energy,['Public Services'],4,-2,-0.5,"0,0004"
COF,Capital One,['Finance'],3,-3,-1.0,"0,0024"
COIN,Coinbase Global,['Finance'],3,-3,-1.0,"0,0014"
COO,Cooper Companies (The),['Finance'],3,-3,-1.0,"0,0003"
COP,ConocoPhillips,['Energy'],1,1,1.0,"0,0021"
COR,Cencora,['Healthcare'],2,0,0.0,"0,001"
COST,Costco,['Industrials'],1,1,1.0,"0,0075"
CPAY,Corpay,['Industrials'],1,1,1.0,"0,0004"
CPB,Campbell Soup Company,['Industrials'],1,1,1.0,"0,0002"
CPRT,Copart,['Industrials'],1,1,1.0,"0,0008"
CPT,Camden Property Trust,['Public Services'],4,-2,-0.5,"0,0002"
CRL,Charles River Laboratories,['Technology'],8,-4,-0.5,"0,0001"
CRM,Salesforce,['Technology'],8,-4,-0.5,"0,0039"
CRWD,CrowdStrike,['Technology'],8,-4,-0.5,"0,0018"
CSCO,Cisco,['Technology'],8,-4,-0.5,"0,0047"
CSGP,CoStar Group,['Technology'],8,-4,-0.5,"0,0006"
CSX,CSX Corporation,['Industrials'],1,1,1.0,"0,0012"
CTAS,Cintas,['Industrials'],1,1,1.0,"0,0015"
CTRA,Coterra,['Energy'],1,1,1.0,"0,0003"
CTSH,Cognizant,['Technology'],8,-4,-0.5,"0,0006"
CTVA,Corteva,['Public Services'],4,-2,-0.5,"0,0008"
CVS,CVS Health,"['Public Services', 'Healthcare']",5,-1,-0.2,"0,0015"
CVX,Chevron Corporation,['Energy'],1,1,1.0,"0,0054"
CZR,Caesars Entertainment,['Industrials'],1,1,1.0,"0,0001"
D,Dominion Energy,"['Public Services', 'Energy']",5,-1,-0.2,"0,0009"
DAL,Delta Air Lines,['Industrials'],1,1,1.0,"0,0007"
DASH,DoorDash,['Technology'],8,-4,-0.5,"0,0018"
DAY,Dayforce,"['Technology', 'Finance']",10,-6,-0.6,"0,0001"
DD,DuPont,['Industrials'],1,1,1.0,"0,0005"
DDOG,Datadog,['Technology'],8,-4,-0.5,"0,0008"
DE,Deere & Company,['Industrials'],1,1,1.0,"0,0022"
DECK,Deckers Brands,['Industrials'],1,1,1.0,"0,0003"
DELL,Dell Technologies,['Technology'],8,-4,-0.5,"0,0016"
DG,Dollar General,['Industrials'],1,1,1.0,"0,0004"
DGX,Quest Diagnostics,['Finance'],3,-3,-1.0,"0,0003"
DHI,"D, R, Horton",['Industrials'],1,1,1.0,"0,0008"
DHR,Danaher Corporation,['Industrials'],1,1,1.0,"0,0026"
DIS,Walt Disney Company (The),['Public Services'],4,-2,-0.5,"0,0036"
DLR,Digital Realty,['Public Services'],4,-2,-0.5,"0,001"
DLTR,Dollar Tree,['Industrials'],1,1,1.0,"0,0004"
DOC,Healthpeak Properties,['Healthcare'],2,0,0.0,"0,0002"
DOV,Dover Corporation,['Industrials'],1,1,1.0,"0,0004"
DOW,"Dow Inc,",['Industrials'],1,1,1.0,"0,0003"
DPZ,Domino's,['Industrials'],1,1,1.0,"0,0003"
